time,Actual,Prediction,Proximity
5/10/24 4:20,3028.87,3054.93568,100.8605744
5/10/24 5:20,3025.01,3054.58681,100.9777426
5/10/24 6:20,3034.66,3054.23794,100.6451444
5/10/24 7:20,3048.98,3053.88907,100.161007
5/10/24 8:20,3037.21,3053.5402,100.5376711
5/10/24 9:20,3029.47,3053.19133,100.7830191
5/10/24 10:20,3028.44,3052.84246,100.8057766
5/10/24 11:20,3029.06,3052.4936,100.7736261
5/10/24 12:20,3033.01,3052.14473,100.6308825
5/10/24 13:20,3024.35,3051.79586,100.9074962
5/10/24 14:20,2990.32,3051.44699,102.0441622
5/10/24 15:20,2936.2,3051.09812,103.9131571
5/10/24 16:20,2928.08,3050.74925,104.1894091
5/10/24 17:20,2894.33,3050.40038,105.3922801
5/10/24 18:20,2885.77,3050.05151,105.6928137
5/10/24 19:20,2904.39,3049.70264,105.0032069
5/10/24 20:20,2898.86,3049.35377,105.1914811
5/10/24 21:20,2889.88,3049.0049,105.5062805
5/10/24 22:20,2905.38,3048.65603,104.9314042
5/10/24 23:20,2910,3048.30716,104.7528234
5/11/24 0:20,2914.01,3047.95829,104.5966997
5/11/24 1:20,2932.52,3047.60942,103.9245911
5/11/24 2:20,2912.27,3047.26055,104.6352347
5/11/24 3:20,2917.1,3046.91168,104.450025
5/11/24 4:20,2907.84,3046.56281,104.770648
5/11/24 5:20,2917.06,3046.21394,104.427538
5/11/24 6:20,2920.23,3045.86507,104.302232
5/11/24 7:20,2916.94,3045.5162,104.4079138
5/11/24 8:20,2911.53,3045.16733,104.5899348
5/11/24 9:20,2902.65,3044.81846,104.897885
5/11/24 10:20,2906.94,3044.46959,104.7310777
5/11/24 11:20,2893,3044.12072,105.2236682
5/11/24 12:20,2906.73,3043.77185,104.7146398
5/11/24 13:20,2905.07,3043.42298,104.7624663
5/11/24 14:20,2906.64,3043.07411,104.6938771
5/11/24 15:20,2930.39,3042.72524,103.833457
5/11/24 16:20,2923.78,3042.37637,104.0562686
5/11/24 17:20,2920.77,3042.0275,104.1515593
5/11/24 18:20,2927.89,3041.67863,103.8863697
5/11/24 19:20,2928.36,3041.32976,103.8577825
5/11/24 20:20,2927.78,3040.98089,103.8664411
5/11/24 21:20,2918.73,3040.63202,104.1765432
5/11/24 22:20,2915.53,3040.28315,104.2789184
5/11/24 23:20,2912.52,3039.93428,104.3747092
5/12/24 0:20,2919.17,3039.58541,104.1249879
5/12/24 1:20,2915.93,3039.23654,104.2287209
5/12/24 2:20,2913.62,3038.88767,104.2993826
5/12/24 3:20,2926.34,3038.5388,103.8340999
5/12/24 4:20,2926.41,3038.18993,103.8196948
5/12/24 5:20,2924.72,3037.84106,103.8677569
5/12/24 6:20,2921.33,3037.49219,103.976346
5/12/24 7:20,2908.88,3037.14332,104.4093713
5/12/24 8:20,2904.66,3036.79445,104.5490505
5/12/24 9:20,2913.91,3036.44558,104.2051944
5/12/24 10:20,2929.4,3036.09671,103.6422718
5/12/24 11:20,2929.33,3035.74784,103.6328389
5/12/24 12:20,2926.62,3035.39898,103.7168809
5/12/24 13:20,2928.64,3035.05011,103.6334309
5/12/24 14:20,2934.24,3034.70124,103.4237567
5/12/24 15:20,2926.84,3034.35237,103.6733258
5/12/24 16:20,2947.23,3034.0035,102.9442392
5/12/24 17:20,2933.9,3033.65463,103.4000692
5/12/24 18:20,2933.35,3033.30576,103.4075634
5/12/24 19:20,2921.46,3032.95689,103.8164784
5/12/24 20:20,2926.79,3032.60802,103.6154975
5/12/24 21:20,2922.19,3032.25915,103.7666664
5/12/24 22:20,2928.16,3031.91028,103.5431903
5/12/24 23:20,2931.37,3031.56141,103.4179039
5/13/24 0:20,2931.31,3031.21254,103.4081192
5/13/24 1:20,2914.46,3030.86367,103.9940047
5/13/24 2:20,2907.59,3030.5148,104.2277212
5/13/24 3:20,2867.55,3030.16593,105.6709013
5/13/24 4:20,2881.64,3029.81706,105.1421087
